FID,ogc_fid,company,address,city,state,zip_code,feedstock,capacity (Mgal),,
ethanol_plants_201904.57,57,"Flint Hills Resources, LLC",3363 Talon Ave.,Menlo,IA,50164,Corn,120,,
ethanol_plants_201904.58,58,"Flint Hills Resources, LLC",30750 212th St.,Shell Rock,IA,50670,Corn,120,,
ethanol_plants_201904.59,59,"Flint Hills Resources, LLC",21050 140th Street,Iowa Falls,IA,50126,Corn,120,,
ethanol_plants_201904.60,60,"Flint Hills Resources, LLC",1277 102nd Street,Fairbank,IA,50629,Corn,120,,
ethanol_plants_201904.62,62,"Flint Hills Resources, LLC",2585 Quail Ave.,Arthur,IA,51431,Corn,120,,
ethanol_plants_201904.71,71,"Golden Grain Energy, LLC",1822 43rd Street SW,Mason City,IA,50401,Corn,115,,
ethanol_plants_201904.73,73,Grain Processing Corp.,1600 Oregon Street,Muscatine,IA,52761,Corn,20,,
ethanol_plants_201904.83,83,Green Plains Inc.,1660 428th Street,Lakota,IA,50451,Corn,120,,
ethanol_plants_201904.88,88,Green Plains Inc.,4124 Airport Road,Shenandoah,IA,51601,Corn,75,,
ethanol_plants_201904.89,89,Green Plains Inc.,1495 320th Avenue,Superior,IA,51363,Corn,60,,
ethanol_plants_201904.98,98,"Homeland Energy Solutions, LLC",2779 IA Hwy 24,Lawler,IA,52154,Corn,140,,
ethanol_plants_201904.100,100,Ingredion Inc.,1001 1st St. SW,Cedar Rapids,IA,52404,Corn,45,,
ethanol_plants_201904.108,108,"Lincolnway Energy, LLC",59511 West Lincoln Hwy,Nevada,IA,50201,Corn,55,,
ethanol_plants_201904.109,109,"Little Sioux Corn Processors, LLC",4808 F Avenue,Marcus,IA,51035,Corn/cellulosic biomass,135,,
ethanol_plants_201904.110,110,Louis Dreyfus Commodities ,1149 U Ave.,Grand Junction,IA,50107,Corn,100,,
ethanol_plants_201904.137,137,"Pine Lake Corn Processors, LLC",33371 170th Street,Steamboat Rock,IA,50672,Corn,38,,
ethanol_plants_201904.138,138,"Plymouth Energy, LLC",22234 K42,Merrill,IA,51038,Corn,50,,
ethanol_plants_201904.140,140,POET Biorefining - Ashton,4970 260th Street,Ashton,IA,51232,Corn,56,,
ethanol_plants_201904.146,146,POET Biorefining - Coon Rapids,1015 Grant Avenue,Coon Rapids,IA,50058,Corn,54,,
ethanol_plants_201904.147,147,POET Biorefining - Corning,1680 Brooks Road,Corning,IA,50841,Corn,65,,
ethanol_plants_201904.148,148,POET Biorefining - Emmetsburg,4724 380th Street,Emmetsburg,IA,50536,Corn,55,,
ethanol_plants_201904.151,151,POET Biorefining - Gowrie,1562 320th Street,Gowrie,IA,50543,Corn,69,,
ethanol_plants_201904.153,153,POET Biorefining - Hanlontown,3638 Fir Avenue,Hanlontown,IA,50444,Corn,56,,
ethanol_plants_201904.155,155,POET Biorefining - Jewell,2601 320th Street,Jewell,IA,50130,Corn,69,,
ethanol_plants_201904.168,168,Project Liberty,4724 380th Street,Emmetsburg,IA,50536,cellulosic biomass,20,,
ethanol_plants_201904.169,169,Quad County Corn Processors,6059 159th Street,Galva,IA,51020,Corn/cellulosic biomass,38,,
ethanol_plants_201904.178,178,Siouxland Energy Cooperative,3890 Garfield Avenue,Sioux Center,IA,51250,Corn,60,,
ethanol_plants_201904.181,181,"Southwest Iowa Renewable Energy, LLC",10868 189th St.,"Council Bluffs, IA",IA,51503,Corn,130,,
ethanol_plants_201904.189,189,The Andersons Denison Ethanol LLC,2404 Hwy 30 W,Denison,IA,51442,Corn,55,,
ethanol_plants_201904.195,195,Valero Renewable Fuels,2356 510th Street,Albert City,IA,50510,Corn,130,,
ethanol_plants_201904.199,199,Valero Renewable Fuels,1787 Quarry Road,Charles City,IA,50616,Corn,135,,
ethanol_plants_201904.200,200,Valero Renewable Fuels,1930 Hayes Avenue,Fort Dodge,IA,50501,Corn,135,,
ethanol_plants_201904.201,201,Valero Renewable Fuels,3260 Van Buren Avenue,Hartley,IA,51346,Corn,135,,
ethanol_plants_201904.206,206,Verbio North America Corp.,"59219 W Lincoln Hwy, ",Nevada,IA,50201,cellulosic biomass,30,,
ethanol_plants_201904.126,126,"Pacific Ethanol, Inc.",2600 Washington Avenue,Burley,ID,83318,Corn,60,,
ethanol_plants_201904.5,5,"Adkins Energy, LLC",4350 W. Galena Road,Lena,IL,61048,Corn,52,,
ethanol_plants_201904.9,9,Archer Daniels Midland Co.,4666 Faries Parkway,Decatur,IL,62526,Corn ,300,,
ethanol_plants_201904.10,10,Archer Daniels Midland Co.,1 Edmund Street,Peoria,IL,61602,Corn ,185,,
ethanol_plants_201904.20,20,Big River Resources Galva LLC,1100 SE 2nd St.,Galva,IL,61434,Corn,110,,
ethanol_plants_201904.35,35,"Center Ethanol Company, LLC",231 Monsanto Avenue,Sauget,IL,62201,Corn,54,,
ethanol_plants_201904.41,41,CHS Inc.,1900 Steward Road,Rochelle,IL,61068,Corn,133,,
ethanol_plants_201904.42,42,CHS Inc.,101 Patriot Way,Annawan,IL,61234,Corn,125,,
ethanol_plants_201904.84,84,Green Plains Inc.,395 Bissell Street,Madison,IL,62062,corn,90,,
ethanol_plants_201904.107,107,"Lincolnland Agri-Energy, LLC",10406 N. 1725th Street,Palestine,IL,62451,Corn,60,,
ethanol_plants_201904.112,112,"Marquis Energy, LLC",11953 ESK Road,Hennepin,IL,61327,Corn,300,,
ethanol_plants_201904.123,123,One Earth Energy,202 Jordan Dr.,Gibson City,IL,60936,Corn,120,,
ethanol_plants_201904.128,128,"Pacific Ethanol, Inc.",1301 S. Front St.,Pekin,IL,61554,Corn,90,,
ethanol_plants_201904.129,129,"Pacific Ethanol, Inc.",120 North Parkway,Pekin,IL,61555,Corn,100,,
ethanol_plants_201904.130,130,"Pacific Ethanol, Inc.",120 North Parkway,Pekin,IL,61555,Corn,60,,
ethanol_plants_201904.31,31,Cardinal Ethanol,1554 N. 600 East,Union City,IN,47390,Corn,100,,
ethanol_plants_201904.36,36,Central Indiana Ethanol (CIE),2955 W Delphi Pike,Marion,IN,46952,Corn,55,,
ethanol_plants_201904.74,74,Grain Processing Corp.,1443 S 300 W,Washington ,IN,47501,Corn,20,,
ethanol_plants_201904.78,78,Green Plains Inc.,1469 S Adams Street,Bluffton,IN,46714,Corn,120,,
ethanol_plants_201904.85,85,Green Plains Inc.,10610 Darnell School Road,Mt. Vernon,IN,47620,corn,90,,
ethanol_plants_201904.101,101,"Iroquois Bio-Energy Company, LLC",751 W St Rd #114,Rensselaer,IN,47978,corn,50,,
ethanol_plants_201904.139,139,POET Biorefining - Alexandria,13179 N 100 E,Alexandria,IN,46001,Corn ,68,,
ethanol_plants_201904.145,145,POET Biorefining - Cloverdale,2265 E. CR 800 S,Cloverdale,IN,46120,Corn,92,,
ethanol_plants_201904.162,162,POET Biorefining - North Manchester,868 E. 800 N,North Manchester,IN,46962,Corn,68,,
ethanol_plants_201904.163,163,POET Biorefining - Portland,1542 S. 200 West,Portland,IN,47371,Corn,68,,
ethanol_plants_201904.180,180,"South Bend Ethanol, LLC",3201 West Calvert,South Bend,IN,46680,Corn,102,,
ethanol_plants_201904.188,188,The Andersons Clymers Ethanol LLC,3389 W 300 S,Clymers,IN,46947,Corn,110,,
ethanol_plants_201904.203,203,Valero Renewable Fuels,203 West CR 1100 North,Linden,IN,47955,Corn,130,,
ethanol_plants_201904.204,204,Valero Renewable Fuels,7201 Port Road,Mount Vernon,IN,47620,Corn,100,,
ethanol_plants_201904.17,17,"Arkalon Energy, LLC (conestoga)",300 N. Lincoln Avenue,Liberal,KS,67901,corn,110,,
ethanol_plants_201904.24,24,"Bonanza Energy, LLC (conestoga)",2830 U.S. 50,Garden City,KS,67846,Corn/sorghum,55,,
ethanol_plants_201904.28,28,Butamax Advanced Biofuels LLC,1020 70th Rd.,Scandia,KS,66966,Corn,10,,
ethanol_plants_201904.52,52,"East Kansas Agri-Energy, LLC",1304 S Main,Garnett,KS,66032,Corn,42,,
ethanol_plants_201904.53,53,"Element, LLC",523 East Union Avenue,Colwich,KS,67030,Corn/Sorghum/Cellulosic Biomass,0,,
ethanol_plants_201904.56,56,ESE Alcohol Inc.,1 1/2 East K-96,Leoti,KS,67861,Waste Seed Corn,2,,
ethanol_plants_201904.102,102,"Kansas Ethanol, LLC",1630 Avenue Q,Lyons,KS,67554,Corn ,60,,
