20000101
12.8,0.6
16.7,7.2
8.9,2.8
6.1,-5.6
0.0,-5.6
8.3,-2.8
3.9,-3.3
5.0,-1.7
7.8,3.3
12.2,4.4
7.2,-0.6
9.4,-2.2
6.7,-3.9
1.1,-9.4
11.1,-2.2
8.3,-1.1
-0.6,-3.9
1.7,-2.8
0.6,-5.0
0.0,-13.9
-5.0,-17.8
0.0,-11.1
0.0,-10.6
-3.9,-18.3
-3.9,-10.0
-6.7,-15.0
-7.2,-17.2
-5.6,-12.8
-3.3,-6.7
-3.3,-9.4
-3.3,-11.7
-1.1,-8.3
0.0,-11.7
6.7,-1.1
1.1,-4.4
1.7,-8.3
5.6,-5.6
4.4,-2.8
5.6,-9.4
15.0,1.7
15.0,4.4
5.0,-2.8
5.6,-4.4
2.8,0.6
1.1,-0.6
9.4,-0.6
8.3,-0.6
3.9,-3.3
2.8,-0.6
1.7,-1.7
7.8,-1.7
11.1,-1.1
18.9,7.8
17.8,7.8
21.1,10.6
22.2,12.2
17.8,11.7
13.9,4.4
16.1,0.0
18.3,6.1
16.7,4.4
8.9,-1.1
7.2,-0.6
13.9,-5.0
19.4,2.2
20.6,4.4
26.1,11.7
24.4,11.1
20.6,5.6
6.1,1.7
3.9,-2.2
7.2,-10.5
13.3,2.2
12.8,-1.1
21.1,6.1
17.8,1.1
7.2,-2.8
7.8,-1.1
11.7,4.4
11.7,5.6
11.1,5.6
16.7,3.3
19.4,8.3
23.3,12.2
19.4,8.3
21.7,3.3
17.8,4.4
12.2,0.6
14.4,-1.1
15.0,2.8
18.3,2.8
19.4,7.2
18.9,10.0
16.1,8.3
10.6,1.1
21.1,-1.1
19.4,9.4
13.9,7.2
8.3,-2.8
19.4,-0.6
16.7,6.1
12.2,5.0
12.2,0.0
20.0,2.8
21.1,5.0
23.3,10.0
22.8,11.7
18.3,6.7
20.0,14.4
23.9,-5.0
14.4,4.4
12.2,5.0
20.0,1.7
18.3,10.6
18.9,9.4
20.0,4.4
19.2,3.5
21.7,5.0
23.3,5.6
21.1,10.0
25.0,6.7
22.8,15.6
23.9,5.6
26.7,11.7
26.7,15.6
27.2,16.7
26.7,17.2
26.1,18.9
28.3,20.0
25.6,13.3
22.2,9.4
29.4,15.0
30.6,18.9
16.7,11.1
21.1,4.4
23.9,7.8
26.7,13.3
26.7,18.3
26.7,15.6
